ticker,AAL.L,ABF.L,ADM.L,AHT.L,ANTO.L,AUTO.L,AV.L,AZN.L,BA.L,BARC.L,BATS.L,BDEV.L,BHP.L,BKG.L,BLND.L,BNZL.L,BP.L,BRBY.L,BT-A.L,CCH.L,CCL.L,CNA.L,CPG.L,CRDA.L,CRH.L,DCC.L,DGE.L,DLG.L,EVR.L,EXPN.L,EZJ.L,FERG.L,FRES.L,GLEN.L,GSK.L,HIK.L,HL.L,HLMA.L,HSBA.L,HSX.L,IAG.L,IHG.L,III.L,IMB.L,INF.L,ITRK.L,ITV.L,JE.L,JMAT.L,KGF.L,LAND.L,LGEN.L,LLOY.L,LSE.L,MCRO.L,MKS.L,MNDI.L,MRO.L,MRW.L,My Portfolio,NG.L,NMC.L,NXT.L,OCDO.L,PHNX.L,PPB.L,PRU.L,PSN.L,PSON.L,RB.L,RBS.L,RDSA.L,REL.L,RIO.L,RMV.L,RR.L,RSA.L,RTO.L,SBRY.L,SDR.L,SGE.L,SGRO.L,SKG.L,SLA.L,SMDS.L,SMIN.L,SMT.L,SN.L,SPX.L,SSE.L,STAN.L,STJ.L,SVT.L,TSCO.L,TUI.L,TW.L,ULVR.L,UU.L,VOD.L,WPP.L,WTB.L
AAL.L,1.0,0.5638763801208801,0.8730762707591082,0.5928467545189476,0.9240638196412357,0.5374678961668165,0.6746908576256967,0.5438891520303835,0.05426907910438817,0.6206781249056376,0.8490321652652197,0.8267230383780072,0.934322959117922,0.36789518357421297,0.7970605034449841,0.259416673912381,0.8428868588399955,0.7646551407893507,-0.2628975270842021,0.3803159771038196,-0.04540423532932322,-0.5846995555204973,0.7292759716605888,0.6234641220510974,0.7572662522075991,0.6823467805802247,0.6290309343264313,0.7398634183365848,0.8565013074055867,0.5526497803745978,0.03871641286259138,0.2563776598414411,-0.33566872518557445,0.8300096784922749,0.6633156357675742,0.6299221652668489,0.29913926561685034,0.7142803804422867,0.363450424671499,0.3632569754242611,-0.4374521985847955,0.5886593604773729,0.777012993657339,0.4262998658858027,0.742310383915894,0.2627147256057518,0.280766663843411,0.6900214486128706,0.883441403345996,0.6946903319022406,0.7883620836893018,0.8057986632109145,0.8588919568443445,0.5157193574565038,0.8154397451534628,0.16264317223378533,0.1387331579932115,0.7155792281147343,0.04265683535705428,0.18314306428248445,0.46331515834261205,-0.4432729674522814,0.7260885493780658,0.7707327541465101,0.8414282878401482,-0.05658652597703308,0.7618418358246368,0.46621317247425526,-0.5975811992726731,0.25246373955952306,0.7070140108989005,0.4486824714852578,0.09794975608858895,0.8646629444061799,0.5282599375727981,0.4248908946305656,0.3147148951073399,0.39919774028626603,-0.470882452196297,0.5575639012089764,0.7008673217645247,0.6511044897577306,0.5405410538003476,0.33612344088608276,0.6704185856549518,0.5828304008890868,0.23320494468371292,0.2880509539985194,0.5342375180220178,0.32913777241689113,0.39338279082249267,0.5269419557230421,0.45527926534168794,0.7301761724985767,-0.7095418395889191,0.8311977998071718,0.39846566378023707,0.4835187216536446,-0.3273142571039302,0.04221960029414589,0.25454110636611305
ABF.L,0.5638763801208801,1.0,0.5211485540675159,0.677662961772732,0.33110867370389574,0.8484081791994753,0.7495794555877117,-0.06300864875976935,0.21421293243802086,0.368462431760623,0.513706972910237,0.6408388934843383,0.5902013828361454,-0.10750221930093443,0.3963449987438686,-0.4198208216748946,0.6153947787685308,0.5188953765758482,-0.37082399445933695,0.7498226764344377,-0.2028375267636383,-0.76772436640244,0.5822297752271928,0.7912180076413713,0.7920440383648499,0.7826997934373038,0.7292946103191841,0.07323144748204777,0.6135026087305774,0.8385651618915207,-0.3636869088072706,0.4460697270208561,-0.5489703390892594,0.3271988238222577,0.5048382122909149,0.5503258173534396,0.7830262108380113,0.7747183906003733,0.7683087872612272,0.3932155148995494,-0.5404001921416195,0.8498667558514393,0.7755648378018741,-0.34179946140404915,0.8616150996006932,0.5822036388471493,-0.009585325625897683,0.10558863387642671,0.7310066892273982,0.5303638263169566,0.5599810185856131,0.7214859195999923,0.6646126897009835,0.8508473259914157,0.19483890115322963,0.1819858830419241,-0.10102413064291209,0.6637534342852488,-0.34257863245092335,-0.11750333731930102,-0.005180092465401498,-0.3681135347897292,0.8533317691898705,0.8115337294369689,0.6945876879334347,0.15114260304163638,0.8232018652556191,0.13880434993618201,-0.5231021415368184,0.35980876165810066,0.05395603846948232,0.753321882121164,0.5726287125503363,0.7606679226380727,0.8548926296715037,0.3453801751392364,0.7445466547368604,0.8232875876170586,-0.5055413769340656,0.8685986618140452,0.7955094538994046,0.829029990226171,0.6388098777957221,0.7538820815564931,0.5400062603447101,0.8192620186684975,0.015113177170527094,0.7007031238565742,0.8480367344619658,-0.2392239560754234,0.8336809719596774,0.8032225131763677,0.12294883851621057,0.8483428337906609,-0.32411510992749976,0.6882042022162651,0.7814769646541532,0.00527631194910834,-0.4919752580017074,0.6618169462262866,-0.338333279641412
ADM.L,0.8730762707591082,0.5211485540675159,1.0,0.7186398317008611,0.8507339969772191,0.45009186332170575,0.7727028160777031,0.41309973674153094,0.21650056925280362,0.7126691094739694,0.7125914617489707,0.8079462063784457,0.7840674891822964,0.5423203001095636,0.8555347952647592,0.2771494313744478,0.7365524412183202,0.8549698105396595,-0.10850548731576194,0.40841802987426506,0.1696591614301028,-0.46506771090244914,0.6109226620222664,0.6054315290444456,0.7331215843923408,0.641351522122679,0.5330833341602493,0.7854801149517163,0.7372985522676588,0.49135421539728524,0.28629511068344515,0.38514429926790633,-0.287118209256044,0.8068841203453487,0.539072226236241,0.4930389514147508,0.23823031583303847,0.6119600514956114,0.3281613181781896,0.41070688288914153,-0.23220513833189818,0.5526645352775617,0.7243638276071624,0.47460783891063996,0.6889084609396035,0.41689997129131123,0.4815672670515389,0.7205598466575224,0.8900228407140779,0.7889197849310082,0.8027159264837417,0.8320379312947911,0.8431525958671774,0.47327494090778394,0.7532648201693921,0.3534005587778716,0.26780367409274486,0.68960354965577,0.16756337388305084,0.20319382502287064,0.4507277580311962,-0.1867707430393738,0.6347440003401232,0.6521551760895844,0.8378620575893985,0.08078111214727036,0.7836933465717426,0.6813232108224996,-0.5204445739529493,0.0871587824523478,0.7650467808361627,0.48213203178583974,0.13080330010121408,0.7431107153312395,0.43629150226513624,0.5441174466728272,0.32667600395622615,0.3901633918523299,-0.360956300516905,0.5522349559394728,0.6237307832383302,0.5496778056329825,0.583933769298291,0.31096838992194337,0.7660304123353279,0.625442904144386,0.2512151803380209,0.14325548804545238,0.44838797111942763,0.42239279752288733,0.3728272936434955,0.46660448529779003,0.5721984133477286,0.7272647843403404,-0.5663660555478824,0.8342259323689011,0.3025070037620468,0.6016560772797157,-0.27030189208765104,0.05026582610998694,0.2409964120511061
AHT.L,0.5928467545189476,0.677662961772732,0.7186398317008611,1.0,0.5055276233302208,0.5518895069871628,0.919494926114285,-0.005103842878601392,0.3475810056193616,0.5958045450869104,0.416639713400351,0.6803008763912735,0.5337517636363607,0.38195114713066025,0.5769614193544562,-0.19224494474300816,0.5602373099838752,0.7637435447904731,-0.28161907353733273,0.6515789621208552,0.36709236903607717,-0.5111465419086594,0.44295100164711554,0.7665863870525289,0.7844718130853215,0.7330916053743672,0.5626542262726933,0.36223811758036967,0.5131661273812845,0.6595256048329706,0.16286915327923251,0.7662759863253268,-0.36492092948789284,0.4512450684589139,0.35168627137462316,0.3730075712521837,0.4803790560036893,0.5861250511417444,0.6077013720055128,0.4876121649746771,-0.13865873144166108,0.7348837608429817,0.7283806286146999,-0.013622953628799618,0.732392856178236,0.7954171644340129,0.37998001876500226,0.37793322778530347,0.8090310873875833,0.7458642635034111,0.5859668107705721,0.7934185014808727,0.6991200559912293,0.6802846250795161,0.3087953659301735,0.4559324925882527,0.353625556498544,0.6140888575266604,-0.011568644428720236,0.02160725411463043,0.1631611750694083,0.15393591555633596,0.6416500054941577,0.5152422516381735,0.7655196441090616,0.23740989616937117,0.818226967889841,0.5785151399880916,-0.39513808504944586,0.01259573591980962,0.4006870785384173,0.8617337175446135,0.5700040385946125,0.6775512455363784,0.6054053304843215,0.6764797469347725,0.6731253888610623,0.6764253375090691,-0.37545727446714944,0.754563965587993,0.6378407133452801,0.5728592370789004,0.7875735104240899,0.41928508312459084,0.8052396809436562,0.881736094082213,0.11561734082168035,0.3222454071270068,0.6258444759325749,0.09814162170138319,0.6898552925506279,0.5857716998430821,0.3572783381575055,0.7995451105641757,-0.2995350916096785,0.7165471584208011,0.4643419242939146,0.3343469411510937,-0.4855468457104957,0.5423850373664767,-0.20408680171067492
ANTO.L,0.9240638196412357,0.33110867370389574,0.8507339969772191,0.5055276233302208,1.0,0.34539242449825813,0.5760765372643577,0.6413371694252411,-0.015134751677702736,0.6859511122732814,0.7981051427168536,0.7543472532742809,0.8309813153911104,0.5552143050385457,0.8519437980733037,0.43966100236886746,0.7279948927032392,0.7536319932928571,-0.11818220882820465,0.20553532991436185,0.05529091206476188,-0.4309129477878011,0.5702655658166672,0.4186057605341685,0.6084653357535902,0.498211596759247,0.45850153264990684,0.8405439562644026,0.7849318090850205,0.3387277564820567,0.2506283213420264,0.19771304633293788,-0.24956854756337768,0.8928476320604598,0.5465979570182768,0.4641907971133692,0.09178669928644276,0.5610931917835995,0.12107922323371383,0.35189211524894737,-0.32504099367502454,0.3850229778872314,0.6521063751375207,0.6386246107158783,0.5710583505564203,0.12872185129428626,0.4456506462376454,0.7851608001501995,0.8260812600699706,0.7237316837280555,0.7919657267502725,0.7168003845439241,0.8114909002350008,0.29377867924834755,0.8935906042376585,0.18708474149764773,0.1696743020585068,0.7069609102027701,0.1445915811801208,0.29283031374788443,0.5820909908281348,-0.25627531280869714,0.5682958516142317,0.6334747789526064,0.77572613454045,-0.06695501007464984,0.6384662533673281,0.5484508140131518,-0.5192796848561018,0.17057197788449213,0.8397310116562051,0.8622803022346175,-0.11628073874971824,0.6896219613313065,0.3276376204927216,0.41640776532443863,0.10643748924040085,0.2070135430374684,-0.39512268644528253,0.3760596646502922,0.5292092863360255,0.452481331809133,0.40529150098976807,0.1816253898428918,0.6954950729204943,0.40358025193198305,0.3042284433784641,0.047551415831893665,0.3220829710483952,0.5393709690276117,0.1637003604417814,0.3698572877490517,0.5836748241460784,0.6124143575845794,-0.6321109077119893,0.7603794468754964,0.17019219446448858,0.6505572009064019,-0.13134942013550394,-0.12348333566214215,0.4138307396109971
AUTO.L,0.5374678961668165,0.8484081791994753,0.45009186332170575,0.5518895069871628,0.34539242449825813,1.0,0.6947985137280221,0.26362132649853065,-0.20776792660830307,0.3558807494372637,0.6729038675921027,0.7148882041406526,0.6510565031876265,-0.1946818666625214,0.37142759113065443,-0.5784182116988464,0.7311609155394544,0.47540436418936766,-0.6231816934132807,0.7997379635733385,-0.39380773286999116,-0.9645530695938062,0.6809510265704928,0.7083951890123646,0.8820542845009368,0.7524542200563619,0.8948556235551453,0.08934256430936317,0.7799641673146314,0.9393367717339457,-0.5408523023605962,0.471232456149749,-0.8355818924797815,0.2264521006983181,0.6419972029005402,0.6730342693298705,0.9081322057526274,0.9391437466326891,0.7754510600745576,0.7108710525120452,-0.8364287155680625,0.9339376828102385,0.9002924828031058,-0.39492920833568707,0.9228981359918462,0.4607381513463341,-0.14447471859358899,0.03376749807447527,0.6837278285935157,0.5451154173502243,0.6120366166295519,0.7640696657710077,0.7369537312040134,0.9175412572067984,0.31831963578198563,-0.2420283240596308,-0.4632411198350688,0.7418157890289843,-0.661154825637988,-0.1634652809319086,0.10664501659361399,-0.3705642131431014,0.9480822686274686,0.8853256139214093,0.7638892090743373,0.010160373679546806,0.8569908213129992,-0.12274079098395806,-0.7183370490210333,0.591095446583574,0.028179611988751324,0.3131842295236918,0.5861797414859038,0.805621439480261,0.9781430425726404,0.29100848333277785,0.8140833031594882,0.8891940446640099,-0.830520192644577,0.9213614263243244,0.916938647327257,0.9187508436844946,0.5547151952760916,0.7611712355093175,0.4520159723649515,0.6810561973925008,-0.02563191807278954,0.8388661411403324,0.9741511105660636,-0.31590925069582987,0.844792297442205,0.9525988876104377,0.14326040979116433,0.8412400575135827,-0.5507567541048193,0.6983207618596866,0.9326137633362581,-0.052462107744886376,-0.5138028111293343,0.7099460354304136,-0.492019402882453
AV.L,0.6746908576256967,0.7495794555877117,0.7727028160777031,0.919494926114285,0.5760765372643577,0.6947985137280221,1.0,0.15616521046908904,0.20820699852347846,0.7034776776509477,0.6103268679066772,0.8446596585478829,0.6159751851732237,0.4060985532845935,0.6904612944746837,-0.2471234077844283,0.6789272497341585,0.7609623987841461,-0.40642903073672637,0.742182744456696,0.23840277632333629,-0.6603758445656782,0.5716497474693919,0.7257373465176853,0.8755018139993028,0.7437557204791058,0.7229834343218604,0.44312809995540314,0.6877844504239783,0.7583866299315235,0.08424832311984114,0.7233661731550094,-0.5594063119007796,0.469676095486978,0.4304753217898736,0.4583022846422967,0.5594583818552913,0.7574499251107433,0.6116715515944429,0.5686288930238945,-0.3581590107219133,0.8234919487216164,0.8402979430902531,0.009150444882133025,0.8509109715210567,0.627758301867024,0.27331482723623657,0.43313231005733027,0.8750952262527603,0.759274486041123,0.7447865881850407,0.9291732639190141,0.8525469888088503,0.8109329387001007,0.41415575900878865,0.29746584272418847,0.16797543699397363,0.7130186372243847,-0.11218619974119674,-0.020553333515197426,0.3231943420072998,-0.03224948649470518,0.7771873949768694,0.6805408417691295,0.882898389806834,0.05790858608071388,0.9086682407988239,0.5437606777380661,-0.6439187524541211,0.18129736150516723,0.4748133713477015,0.7491072203311723,0.5453385981756872,0.7729523622389691,0.7358445816810217,0.6271985082553334,0.7143045470570387,0.7295091165151855,-0.5416477274855109,0.8066150330432476,0.7785003936732882,0.752822514186156,0.7147657643119784,0.5050156724784329,0.8018058125680864,0.8440288171324057,0.12085670925876119,0.48793350285428405,0.7381477749948252,0.14373751264920576,0.7503015839589958,0.7171149693496287,0.4859338647192727,0.9068082567245539,-0.46327154911066,0.8683951706831482,0.5843525318536659,0.41558003891142115,-0.5518909697933856,0.559406666838348,-0.22606456910743786
AZN.L,0.5438891520303835,-0.06300864875976935,0.41309973674153094,-0.005103842878601392,0.6413371694252411,0.26362132649853065,0.15616521046908904,1.0,-0.5799588974221973,0.2862871651749332,0.7611804257054303,0.5330650357421928,0.6117487709432203,0.28025603929121595,0.47774240797880746,0.26047697028480576,0.5932773837080294,0.36909184679389856,-0.37378326801728506,0.09684251953043002,-0.13637028219226577,-0.3707250087228943,0.5624428138588414,0.07415053103915668,0.37391602132277435,0.23499139092668986,0.47217366332075383,0.6677135767279027,0.6469880279934105,0.2505457317313188,-0.029185294965995746,-0.018332085620482948,-0.3362771559831051,0.39242745015694397,0.5930912446497937,0.46328318648021477,-0.0062045941470757985,0.47749043073818254,-0.09974270735644124,0.459514568886926,-0.5135897274564873,0.19727213081475728,0.4450523844705149,0.5112949375035373,0.35056185816553687,-0.25542554381454846,-0.05100966982499161,0.5183356602454301,0.37712881598475434,0.26058396141839374,0.494141002327089,0.42785627892166406,0.5045250105091952,0.16539194539113536,0.8045652836493375,-0.41055387268302823,-0.24809416191842795,0.3907837595279688,-0.12943202994940584,0.09033730040647024,0.6846433930309646,-0.2812368805371711,0.3711068358297131,0.3894038594251965,0.5009257536341711,-0.44871388959264036,0.2736092072689142,0.03220205516296057,-0.5707513871522141,0.48250071012764334,0.5511713419393606,-0.864340588787237,-0.1308678945264223,0.4668583354289525,0.2338615396155337,0.23840086692031298,-0.031065727228448192,0.03205064031270816,-0.5510652774495813,0.0846825777964253,0.4516800518908631,0.35309903554429994,0.010478789348542445,-0.12854044026872963,0.23530856816023343,-0.11025722321319203,0.08482642999144413,0.16624663221978844,0.22850896363647208,0.40245731626034614,-0.08451588284281644,0.21620031574692228,0.5087128419752976,0.22711930052436732,-0.7536819085436617,0.4051726399978014,0.22102780750273257,0.46651639325148875,-0.1262509708356058,-0.2611628571390605,0.29392028897781636
BA.L,0.05426907910438817,0.21421293243802086,0.21650056925280362,0.3475810056193616,-0.015134751677702736,-0.20776792660830307,0.20820699852347846,-0.5799588974221973,1.0,0.12079896959630035,-0.24903166598530102,-0.11234423554287999,-0.06039804317090174,0.15542959531125355,0.13049753954712628,0.2810120087612784,-0.07360116739690999,0.21262047592633837,0.547739013550951,-0.0863543156533435,0.33722301031035895,0.3456687790592214,-0.11327574286257866,0.3195127468482814,-0.0370655346964469,0.14707731236325994,-0.24129717196987668,-0.01209336412339958,-0.2119096161832826,-0.11829728297638024,0.35517949125207654,0.2197438534749173,0.4019888751974206,0.27424161397965147,-0.1581616564090409,-0.12893749166742627,-0.12216030524974993,-0.22715219975361237,0.2173306478120099,-0.4148936131262708,0.5376128093617202,-0.03665802850892394,-0.08192011526172256,0.11033403541860765,-0.06328290194634115,0.40415119539762073,0.5029991727248825,0.10406254970826878,0.14005139056049618,0.1482839568951389,0.028928652202805327,-0.027804677791140004,-0.06470793500337144,-0.051032495801189556,-0.21743106964401657,0.7129408898734342,0.6251784734795772,-0.029601857361465273,0.5078266137663991,0.21133428342637808,-0.2653993085648045,0.18116442964477478,-0.1519184198937062,-0.08288771647369597,-0.09140990890073668,0.4887474601210595,0.07804766134715621,0.4847713247868712,0.43573582531735827,-0.3612292100859171,0.05011555002895859,0.7780416971063476,-0.027189264797462216,-0.05524470257924195,-0.17723179693345179,0.10667722657977566,0.033982686958823144,0.034096723253301556,0.6232755013039185,0.042191407762358614,-0.18997249531945928,-0.16655199462615228,0.39490607934993793,0.1487919204870965,0.34971124681592547,0.4440780780359187,0.16253378722286804,-0.24945248645755339,-0.1597079174346452,0.11776561800639601,0.11778285784294655,-0.1325345190990949,-0.10063316188091953,0.09035220117426061,0.3681695615858563,0.024587343798509513,-0.193398855899662,0.04802471652068805,0.1901505363987215,0.006897811097346347,0.2081734739503051
BARC.L,0.6206781249056376,0.368462431760623,0.7126691094739694,0.5958045450869104,0.6859511122732814,0.3558807494372637,0.7034776776509477,0.2862871651749332,0.12079896959630035,1.0,0.4952032422764405,0.6828834864311041,0.45774491083660124,0.6589150050382394,0.7704460888213801,0.12846457782138918,0.467926748770091,0.5450532417857021,-0.06692693064233209,0.2219067695640465,0.09683600764671912,-0.41113645470030863,0.22058152642916345,0.25376070783360305,0.5552571515206904,0.3952206927710593,0.2955311763768867,0.5557037142347925,0.59981405789164,0.30138740692231536,0.28581439603216807,0.4390691070290678,-0.4713216067252556,0.6825079911646578,0.1172218450851864,0.09493688818367349,0.2696193623280779,0.4835377791447623,0.24437848559435446,0.40264376040069266,-0.2854295001155354,0.39163647516635347,0.5156135788846259,0.32151211771735083,0.5146965786206479,0.18724332419382061,0.553899799500905,0.5689023518834573,0.7515689048506304,0.7556209878125131,0.6973285898975622,0.7032645179066472,0.8000800436766603,0.36397583551118523,0.5524718038618854,0.1916506481602454,0.1343611735040591,0.7115181229569365,0.010889795245764078,0.18782911520506446,0.2910622208094404,0.06569683873544628,0.4925574136840808,0.5331518001661856,0.6978842517670836,0.031022923917660167,0.6868815199185572,0.5919771887814724,-0.47788030345559546,-0.0203173237676236,0.7344799085089292,0.700257910763444,-0.07100454408692077,0.43086170359806236,0.3724961995239101,0.2428216055842684,0.2674746445526794,0.3112971001001884,-0.364298621407918,0.4652958406772458,0.4073594281160015,0.4037393751972749,0.4442460757959407,0.4183502163561079,0.705936455171841,0.48003900558683543,0.2502138893859661,0.030093973866521666,0.34678632144363747,0.3227678513211914,0.37694120641194157,0.5004697431978887,0.452478220321603,0.667866700229177,-0.2687445652059145,0.7947551974621431,0.10541505751561404,0.5203364985013551,-0.10913554383563624,0.24541371066954976,0.1401587499921718
